dataset_name,algorithm,train_seed,num_updates,final_train_loss,eval_episodes,avg_return,success_rate,avg_episode_length,checkpoint_path,status,notes
envA_v2_small_wide_medium,cql,4,5000,0.638313,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_small_wide_medium_cql_seed4.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_wide_medium,cql,5,5000,0.664367,100,0.4100,1.0000,59.00,artifacts\training_main\envA_v2_small_wide_medium_cql_seed5.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_wide_medium,cql,6,5000,0.693252,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_small_wide_medium_cql_seed6.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_wide_medium,cql,7,5000,0.665428,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_small_wide_medium_cql_seed7.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_wide_medium,cql,8,5000,0.626472,100,0.4100,1.0000,59.00,artifacts\training_main\envA_v2_small_wide_medium_cql_seed8.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_wide_medium,cql,9,5000,0.661330,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_small_wide_medium_cql_seed9.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_wide_medium,cql,10,5000,0.661302,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_small_wide_medium_cql_seed10.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_wide_medium,cql,11,5000,0.635885,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_small_wide_medium_cql_seed11.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_wide_medium,cql,12,5000,0.649884,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_small_wide_medium_cql_seed12.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_wide_medium,cql,13,5000,0.659210,100,0.4100,1.0000,59.00,artifacts\training_main\envA_v2_small_wide_medium_cql_seed13.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_wide_medium,cql,14,5000,0.616652,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_small_wide_medium_cql_seed14.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_wide_medium,cql,15,5000,0.630532,100,0.3900,1.0000,61.00,artifacts\training_main\envA_v2_small_wide_medium_cql_seed15.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
envA_v2_small_wide_medium,cql,16,5000,0.631065,100,0.4100,1.0000,59.00,artifacts\training_main\envA_v2_small_wide_medium_cql_seed16.pt,completed,one-hot 900-d; full main experiment; frozen CQL_CFG inherited from sanity
