dataset_name,quality_bin,algorithm,train_seed,source_summary_type,dataset_norm_state_cov,dataset_norm_sa_cov,dataset_state_entropy,dataset_avg_return,dataset_success_rate,run_avg_return,run_success_rate,run_avg_episode_length,ood_action_rate_step,support_overlap_rate_unique_sa,eval_sa_coverage_wrt_dataset_support,support_distance_proxy,q_over_rate,q_over_mean_excess,checkpoint_path,status,notes
envA_v2_small_wide_medium,medium,bc,17,main,0.405970,0.205224,7.8425,-0.1779,0.7481,0.3900,1.0000,61.00,0.000000,1.000000,0.110909,0.000000,,,artifacts\training_main\envA_v2_small_wide_medium_bc_seed17.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_wide_medium,medium,bc,18,main,0.405970,0.205224,7.8425,-0.1779,0.7481,0.4100,1.0000,59.00,0.000000,1.000000,0.107273,0.000000,,,artifacts\training_main\envA_v2_small_wide_medium_bc_seed18.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_wide_medium,medium,bc,19,main,0.405970,0.205224,7.8425,-0.1779,0.7481,0.3900,1.0000,61.00,0.000000,1.000000,0.110909,0.000000,,,artifacts\training_main\envA_v2_small_wide_medium_bc_seed19.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_wide_medium,medium,cql,0,main,0.405970,0.205224,7.8425,-0.1779,0.7481,0.4100,1.0000,59.00,0.000000,1.000000,0.107273,0.000000,0.022059,0.009843,artifacts\training_main\envA_v2_small_wide_medium_cql_seed0.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_wide_medium,medium,cql,1,main,0.405970,0.205224,7.8425,-0.1779,0.7481,0.3900,1.0000,61.00,0.000000,1.000000,0.110909,0.000000,0.022059,0.008734,artifacts\training_main\envA_v2_small_wide_medium_cql_seed1.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_wide_medium,medium,cql,2,main,0.405970,0.205224,7.8425,-0.1779,0.7481,0.4100,1.0000,59.00,0.000000,1.000000,0.107273,0.000000,0.007353,0.006139,artifacts\training_main\envA_v2_small_wide_medium_cql_seed2.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_wide_medium,medium,cql,3,main,0.405970,0.205224,7.8425,-0.1779,0.7481,0.3900,1.0000,61.00,0.000000,1.000000,0.110909,0.000000,0.007353,0.006283,artifacts\training_main\envA_v2_small_wide_medium_cql_seed3.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_wide_medium,medium,cql,4,main,0.405970,0.205224,7.8425,-0.1779,0.7481,0.3900,1.0000,61.00,0.000000,1.000000,0.110909,0.000000,0.007353,0.006141,artifacts\training_main\envA_v2_small_wide_medium_cql_seed4.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_wide_medium,medium,cql,5,main,0.405970,0.205224,7.8425,-0.1779,0.7481,0.4100,1.0000,59.00,0.000000,1.000000,0.107273,0.000000,0.007353,0.005876,artifacts\training_main\envA_v2_small_wide_medium_cql_seed5.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_wide_medium,medium,cql,6,main,0.405970,0.205224,7.8425,-0.1779,0.7481,0.3900,1.0000,61.00,0.000000,1.000000,0.110909,0.000000,0.007353,0.005635,artifacts\training_main\envA_v2_small_wide_medium_cql_seed6.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_wide_medium,medium,cql,7,main,0.405970,0.205224,7.8425,-0.1779,0.7481,0.3900,1.0000,61.00,0.000000,1.000000,0.110909,0.000000,0.011029,0.006123,artifacts\training_main\envA_v2_small_wide_medium_cql_seed7.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
envA_v2_small_wide_medium,medium,cql,8,main,0.405970,0.205224,7.8425,-0.1779,0.7481,0.4100,1.0000,59.00,0.000000,1.000000,0.107273,0.000000,0.022059,0.011322,artifacts\training_main\envA_v2_small_wide_medium_cql_seed8.pt,completed,mechanism analysis; eval_episodes=100; greedy policy
