dataset_name,algorithm,train_seed,num_updates,final_actor_loss,final_q_loss,final_value_loss,eval_episodes,avg_return,success_rate,avg_episode_length,checkpoint_path,status,notes
envA_v2_quality_suboptimal_wide50k,iql,0,5000,0.553002,0.000302,0.000190,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_suboptimal_wide50k_iql_seed0.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=suboptimal; frozen IQL config from R1
envA_v2_quality_suboptimal_wide50k,iql,1,5000,0.623974,0.000373,0.000189,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_suboptimal_wide50k_iql_seed1.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=suboptimal; frozen IQL config from R1
envA_v2_quality_suboptimal_wide50k,iql,2,5000,0.581668,0.000239,0.000196,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_suboptimal_wide50k_iql_seed2.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=suboptimal; frozen IQL config from R1
envA_v2_quality_suboptimal_wide50k,iql,3,5000,0.587399,0.000553,0.000221,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_suboptimal_wide50k_iql_seed3.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=suboptimal; frozen IQL config from R1
envA_v2_quality_suboptimal_wide50k,iql,4,5000,0.555070,0.000529,0.000300,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_suboptimal_wide50k_iql_seed4.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=suboptimal; frozen IQL config from R1
envA_v2_quality_suboptimal_wide50k,iql,5,5000,0.585378,0.000240,0.000289,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_suboptimal_wide50k_iql_seed5.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=suboptimal; frozen IQL config from R1
envA_v2_quality_suboptimal_wide50k,iql,6,5000,0.577745,0.000364,0.000264,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_suboptimal_wide50k_iql_seed6.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=suboptimal; frozen IQL config from R1
envA_v2_quality_suboptimal_wide50k,iql,7,5000,0.586449,0.000228,0.000226,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_suboptimal_wide50k_iql_seed7.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=suboptimal; frozen IQL config from R1
envA_v2_quality_suboptimal_wide50k,iql,8,5000,0.606831,0.000238,0.000227,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_suboptimal_wide50k_iql_seed8.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=suboptimal; frozen IQL config from R1
envA_v2_quality_suboptimal_wide50k,iql,9,5000,0.600348,0.000528,0.000258,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_suboptimal_wide50k_iql_seed9.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=suboptimal; frozen IQL config from R1
envA_v2_quality_suboptimal_wide50k,iql,10,5000,0.647416,0.000477,0.000247,100,0.4100,1.0000,59.00,artifacts/training_iql/envA_v2_quality_suboptimal_wide50k_iql_seed10.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=suboptimal; frozen IQL config from R1
envA_v2_quality_suboptimal_wide50k,iql,11,5000,0.599554,0.000332,0.000348,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_suboptimal_wide50k_iql_seed11.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=suboptimal; frozen IQL config from R1
envA_v2_quality_suboptimal_wide50k,iql,12,5000,0.601697,0.000422,0.000219,100,0.3900,1.0000,61.00,artifacts/training_iql/envA_v2_quality_suboptimal_wide50k_iql_seed12.pt,completed,one-hot 900-d; discrete IQL quality sweep; quality_bin=suboptimal; frozen IQL config from R1
