dataset_name,coverage_mode,target_transitions,actual_transitions,norm_state_coverage,norm_sa_coverage,route_family_coverage,families_covered,delay_prob,source_families,status
envB_v2_small_wide,wide,50000,50000,0.4741,0.2407,1.0000,"A,B,C",0.25,"A,B,C",formal_prep_corrected
envB_v2_large_narrow_A,narrow,200000,200000,0.1778,0.0852,0.3333,A,0.1,A,formal_prep_corrected
