env_name,train_seed,policy_id,policy_type,checkpoint_step,checkpoint_path,behavior_epsilon,eval_episodes,avg_return,success_rate,avg_episode_length,quality_bin,selected,notes
EnvA_v2,3,envA_v2_seed3_suboptimal_controller,scripted_controller,0,artifacts\behavior_pool\envA_v2_seed3_suboptimal_controller.pt,0.0,100,-0.6545,0.3200,97.45,suboptimal,yes,controller-based; route_family=B; delay_prob=0.30; frozen semantics inherited from verify_envA_v2_proxy_gate.py; behavior_epsilon=0.0 compatibility only
EnvA_v2,4,envA_v2_seed4_expert_controller,scripted_controller,0,artifacts\behavior_pool\envA_v2_seed4_expert_controller.pt,0.0,100,0.3900,1.0000,61.00,expert,yes,controller-based; route_family=C; delay_prob=0.00; frozen semantics inherited from verify_envA_v2_proxy_gate.py; behavior_epsilon=0.0 compatibility only
EnvA_v2,4,envA_v2_seed4_medium_controller,scripted_controller,0,artifacts\behavior_pool\envA_v2_seed4_medium_controller.pt,0.0,100,-0.3370,0.6100,94.70,medium,yes,controller-based; route_family=C; delay_prob=0.25; frozen semantics inherited from verify_envA_v2_proxy_gate.py; behavior_epsilon=0.0 compatibility only
EnvA_v2,4,envA_v2_seed4_suboptimal_controller,scripted_controller,0,artifacts\behavior_pool\envA_v2_seed4_suboptimal_controller.pt,0.0,100,-0.7550,0.2300,98.50,suboptimal,yes,controller-based; route_family=C; delay_prob=0.30; frozen semantics inherited from verify_envA_v2_proxy_gate.py; behavior_epsilon=0.0 compatibility only
EnvA_v2,5,envA_v2_seed5_expert_controller,scripted_controller,0,artifacts\behavior_pool\envA_v2_seed5_expert_controller.pt,0.0,100,0.3900,1.0000,61.00,expert,yes,controller-based; route_family=C; delay_prob=0.00; frozen semantics inherited from verify_envA_v2_proxy_gate.py; behavior_epsilon=0.0 compatibility only
EnvA_v2,5,envA_v2_seed5_medium_controller,scripted_controller,0,artifacts\behavior_pool\envA_v2_seed5_medium_controller.pt,0.0,100,-0.3370,0.6100,94.70,medium,yes,controller-based; route_family=C; delay_prob=0.25; frozen semantics inherited from verify_envA_v2_proxy_gate.py; behavior_epsilon=0.0 compatibility only
EnvA_v2,5,envA_v2_seed5_suboptimal_controller,scripted_controller,0,artifacts\behavior_pool\envA_v2_seed5_suboptimal_controller.pt,0.0,100,-0.7550,0.2300,98.50,suboptimal,yes,controller-based; route_family=C; delay_prob=0.30; frozen semantics inherited from verify_envA_v2_proxy_gate.py; behavior_epsilon=0.0 compatibility only
EnvA_v2,6,envA_v2_seed6_expert_controller,scripted_controller,0,artifacts\behavior_pool\envA_v2_seed6_expert_controller.pt,0.0,100,0.0373,0.9600,92.27,expert,yes,controller-based; route_family=D; delay_prob=0.10; frozen semantics inherited from verify_envA_v2_proxy_gate.py; behavior_epsilon=0.0 compatibility only
EnvA_v2,6,envA_v2_seed6_medium_controller,scripted_controller,0,artifacts\behavior_pool\envA_v2_seed6_medium_controller.pt,0.0,100,-0.2077,0.7500,95.77,medium,yes,controller-based; route_family=D; delay_prob=0.13; frozen semantics inherited from verify_envA_v2_proxy_gate.py; behavior_epsilon=0.0 compatibility only
EnvA_v2,6,envA_v2_seed6_suboptimal_controller,scripted_controller,0,artifacts\behavior_pool\envA_v2_seed6_suboptimal_controller.pt,0.0,100,-0.6755,0.3100,98.55,suboptimal,yes,controller-based; route_family=D; delay_prob=0.17; frozen semantics inherited from verify_envA_v2_proxy_gate.py; behavior_epsilon=0.0 compatibility only
EnvA_v2,7,envA_v2_seed7_expert_controller,scripted_controller,0,artifacts\behavior_pool\envA_v2_seed7_expert_controller.pt,0.0,100,0.0373,0.9600,92.27,expert,yes,controller-based; route_family=D; delay_prob=0.10; frozen semantics inherited from verify_envA_v2_proxy_gate.py; behavior_epsilon=0.0 compatibility only
EnvA_v2,7,envA_v2_seed7_medium_controller,scripted_controller,0,artifacts\behavior_pool\envA_v2_seed7_medium_controller.pt,0.0,100,-0.2077,0.7500,95.77,medium,yes,controller-based; route_family=D; delay_prob=0.13; frozen semantics inherited from verify_envA_v2_proxy_gate.py; behavior_epsilon=0.0 compatibility only
EnvA_v2,7,envA_v2_seed7_suboptimal_controller,scripted_controller,0,artifacts\behavior_pool\envA_v2_seed7_suboptimal_controller.pt,0.0,100,-0.6755,0.3100,98.55,suboptimal,yes,controller-based; route_family=D; delay_prob=0.17; frozen semantics inherited from verify_envA_v2_proxy_gate.py; behavior_epsilon=0.0 compatibility only
